RevisionID:,0106.0036.0012.0002.0022
File Name:,HC900-C75S Rev 7.2x : WEB_SIS_241224 *
Controller Name,WEBSIS
Title:,
Author:,
Created Date:,2/14/2005 7:38:48 AM
Modified Date:,12/24/2024 5:25:30 AM

Report Title:,Modbus Signal Tags and Variables Report [Process & Safety]

Hex Addr,Dec Addr,Tag Name,Description,Type,#,Data Type,EU,Decimal Places,Tag Type,'On' Label,'Off' Label,Initial/Source
0x193A,6459,PZIT-219-1_MANON,,Variable,62,float 32, , ,Digital,ON,OFF,OFF
0x193C,6461,PZIT-219-1_MOS,,Variable,63,float 32, , ,Digital,ON,OFF,OFF
0x193E,6463,PZIT-230-1,,Variable,64,float 32,,0,Analog, , ,0.00
0x1940,6465,PZIT-230-1_RH,,Variable,65,float 32,,0,Analog, , ,150.00
0x1942,6467,PZIT-230-1_RL,,Variable,66,float 32,,0,Analog, , ,0.00
0x1944,6469,PZIT-230-1_HH_V,,Variable,67,float 32,,0,Analog, , ,100.00
0x1946,6471,PZIT-230-1_LL_V,,Variable,68,float 32,,0,Analog, , ,32.22
0x1948,6473,PZIT-230-1_DELAY,,Variable,69,float 32,,1,Analog, , ,0.00
0x194A,6475,PZIT-230-1_ACK,Acknowledge,Variable,70,float 32, , ,Digital,ON,OFF,OFF
0x194C,6477,PZIT-230-1_MANON,,Variable,71,float 32, , ,Digital,ON,OFF,OFF
0x194E,6479,PZIT-230-1_MOS,,Variable,72,float 32, , ,Digital,ON,OFF,OFF
0x1950,6481,PZIT-229A,,Variable,73,float 32,,0,Analog, , ,0.00
0x1952,6483,PZIT-229A_RH,,Variable,74,float 32,,0,Analog, , ,100.00
0x1954,6485,PZIT-229A_RL,,Variable,75,float 32,,0,Analog, , ,0.00
0x1956,6487,PZIT-229A_HH_V,,Variable,76,float 32,,0,Analog, , ,137.00
0x1958,6489,PZIT-229A_LL_V,,Variable,77,float 32,,0,Analog, , ,0.00
0x195A,6491,PZIT-229A_DELAY,,Variable,78,float 32,,1,Analog, , ,0.00
