Tag No.,Tag Service,EU,P&ID No.,IO Type,System
100-HSAR-002A,100-P-002A KHI PUMP,,80289-PRO-PID-1012,DPM,PCS
100-HSBR-002B,100-P-002B KHI PUMP,,80289-PRO-PID-1012,DPM,PCS
100-HSAR-002B,100-P-002B KHI PUMP,,80289-PRO-PID-1012,DPM,PCS
100-HSBR-003A,100-P-003A METHANOL PUMP,,80289-PRO-PID-1013,DP (NE),PCS
100-HSBR-003B,100-P-003B METHANOL PUMP,,80289-PRO-PID-1013,DP (NE),PCS
100-HSBR-MX-008,100-MX-008 SCALE INHIBITOR TANK MIXER,,80289-PRO-PID-1015,DPM,PCS
100-HSAR-MX-008,100-MX-008 SCALE INHIBITOR TANK MIXER,,80289-PRO-PID-1015,DPM,PCS
100-HSBR-008A,100-P-008A SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DPM,PCS
100-HSAR-008A,100-P-008A SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DPM,PCS
100-HSBR-008B,100-P-008B SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DPM,PCS
100-HSAR-008B,100-P-008B SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DPM,PCS
100-HY-W904-1A,100-HCV-W904A- CHOKE VALVE,,80289-PRO-PID-1001,DPM,PCS
100-HY-W904-1B,100-HCV-W904B- CHOKE VALVE,,80289-PRO-PID-1002,DPM,PCS
100-HY-W904-1C,100-HCV-W904C- CHOKE VALVE,,80289-PRO-PID-1003,DPM,PCS
100-HY-W904-1D,100-HCV-W904D - CHOKE VALVE,,80289-PRO-PID-1004,DPM,PCS
100-HY-W904-2A,100-HCV-W904A- CHOKE VALVE,,80289-PRO-PID-1001,DPM,PCS
100-HY-W904-2B,100-HCV-W904B- CHOKE VALVE,,80289-PRO-PID-1002,DPM,PCS
100-HY-W904-2C,100-HCV-W904C- CHOKE VALVE,,80289-PRO-PID-1003,DPM,PCS
100-HY-W904-2D,100-HCV-W904D - CHOKE VALVE,,80289-PRO-PID-1004,DPM,PCS
100-HRN-001,100-V-001 VENT/CLOSED DRAIN KNOCKOUT DRUM HORN,,80289-PRO-PID-1010 SHEET 1 OF 2,DP (NDE),PCS
100-HRN-002,100-TK-004 DIESEL STORAGE TANK HORN,,80289-PRO-PID-1009,DP (NDE),PCS
100-HRN-003,100-TK-005 FRESH WATER TANK HORN,,80289-PRO-PID-1016,DP (NDE),PCS
100-XF-006A,100-P-006A HP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DVFC,PCS
100-XB-006A,100-P-006A HP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DVFC,PCS
100-XF-006B,100-P-006B HP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DVFC,PCS
