Tag No.,Tag Service,EU,P&ID No.,IO Type,System
100-FZIT-103,TO 100-FL-001 DIESEL FILTER SKID,,80289-PRO-PID-1009,AI,SIS
100-ZZT-907,100-SDV-907 POSITION TRANSMITTER,,80289-PRO-PID-1017,AI,SIS
100-LZIT-605C,ON 100-V-001 VENT/CLOSED DRAIN KNOCKOUT DRUM,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,SIS
100-PZIT-W201A,100-SSV-W901A  HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1001,AI,SIS
100-PZIT-W202A,100-SSSV-W902A  HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1001,AI,SIS
100-PZIT-W203A,100-SDV-W903A   HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1001,AI,SIS
100-PZIT-W201B,100-SSV-W901B HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1002,AI,SIS
100-PZIT-W202B,100-SSSV-W902B  HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1002,AI,SIS
100-PZIT-W203B,100-SDV-W903B HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1002,AI,SIS
100-PZIT-W201C,100-SSV-W901C HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1003,AI,SIS
100-PZIT-W202C,100-SSSV-W902C  HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1003,AI,SIS
100-PZIT-W203C,100-SDV-W903C HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1003,AI,SIS
100-PZIT-W201D,100-SSV-W901D HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1004,AI,SIS
100-PZIT-W202D,100-SSSV-W902D  HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1004,AI,SIS
100-PZIT-W203D,100-SDV-W903D HYDRAULIC CONTROL PRESSURE,,80289-PRO-PID-1004,AI,SIS
100-LZIT-603,HYDRAULIC OIL LEVEL TK-1,,NOTE-1,AI,SIS
100-LZIT-604,HYDRAULIC OIL LEVEL TK-2,,NOTE-1,AI,SIS
100-PZIT-606,HP HEADER HYDRAULIC OIL PRESSURE,,NOTE-1,AI,SIS
100-PZIT-608,LP HEADER HYDRAULIC OIL PRESSURE,,NOTE-1,AI,SIS
100-PZIT-613,HP HEADER HYDRAULIC OIL PRESSURE,,NOTE-1,AI,SIS
100-PZIT-614,LP HEADER HYDRAULIC OIL PRESSURE,,NOTE-1,AI,SIS
100-PZIT-616,ESD HEADER HYDRAULIC OIL PRESSURE,,NOTE-1,AI,SIS
100-PZIT-617,PSD HEADER HYDRAULIC OIL PRESSURE,,NOTE-1,AI,SIS
100-LZIT-632,ON 100-TK-003 SCALE INHIBITOR STORAGE TANK,,80289-PRO-PID-1015,AI,SIS
100-PZIT-229A,DISCHARGE OF 100-P-008A SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,AI,SIS
100-PZIT-229B,DISCHARGE OF 100-P-008B SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,AI,SIS
100-LZIT-625,ON 100-TK-001 CORROSION INHIBITOR TANK,,80289-PRO-PID-1011,AI,SIS
100-PZIT-226A,OUTLET FROM CORROSION INHIBITOR PUMP (100-P-001A ),,80289-PRO-PID-1011,AI,SIS
100-PZIT-226B,OUTLET FROM CORROSION INHIBITOR PUMP (100-P-001B ),,80289-PRO-PID-1011,AI,SIS
100-LZIT-627,ON 100-TK-002 KHI INJECTION STORAGE TANK,,80289-PRO-PID-1012,AI,SIS
100-PZIT-227A,OUTLET FROM KHI PUMP (100-P-002A ),,80289-PRO-PID-1012,AI,SIS
100-PZIT-227B,OUTLET FROM KHI PUMP (100-P-002B ),,80289-PRO-PID-1012,AI,SIS
100-LZIT-629,ON 100-V-004 METHANOL STORAGE VESSEL,,80289-PRO-PID-1013,AI,SIS
100-PZIT-228A,OUTLET FROM METHANOL PUMP (100-P-003A ),,80289-PRO-PID-1013,AI,SIS
100-PZIT-228B,OUTLET FROM METHANOL PUMP (100-P-003B ),,80289-PRO-PID-1013,AI,SIS
100-SY-W902A,100-SSV-W902A SURFACE SAFETY VALVE,,80289-PRO-PID-1002,DP (NE),SIS
100-SY-W903A,100-SDV-W903A WING VALVE,,80289-PRO-PID-1002,DP (NE),SIS
100-SY-W902B,100-SSV-W902B SURFACE SAFETY VALVE,,80289-PRO-PID-1002,DP (NE),SIS
100-SY-W903B,100-SDV-W903B WING VALVE,,80289-PRO-PID-1002,DP (NE),SIS
100-SY-W902C,100-SSV-W902C SURFACE SAFETY VALVE,,80289-PRO-PID-1003,DP (NE),SIS
100-SY-W903C,100-SDV-W903C WING VALVE,,80289-PRO-PID-1003,DP (NE),SIS
100-SY-W902D,100-SSV-W902D SURFACE SAFETY VALVE,,80289-PRO-PID-1004,DP (NE),SIS
100-SY-W903D,100-SDV-W903D WING VALVE,,80289-PRO-PID-1004,DP (NE),SIS
100-SY-601,REMOTE ESD,,NOTE-1,DP (NE),SIS
100-SY-602,REMOTE ESD,,NOTE-1,DP (NE),SIS
100-SY-603,REMOTE PSD,,NOTE-1,DP (NE),SIS
100-SY-604,REMOTE PSD,,NOTE-1,DP (NE),SIS
100-SV-910A,CORROSION INHIBITOR INJECTION TO WEB NE FLOWLINE,,80289-PRO-PID-1011,DP (NE),SIS
100-SV-910B,CORROSION INHIBITOR INJECTION TO WEB NW FLOWLINE,,80289-PRO-PID-1011,DP (NE),SIS
100-SV-910C,CORROSION INHIBITOR INJECTION TO WEB SE FLOWLINE,,80289-PRO-PID-1011,DP (NE),SIS
100-SV-910D,CORROSION INHIBITOR INJECTION TO WEB SW FLOWLINE,,80289-PRO-PID-1011,DP (NE),SIS
100-SV-911A,KHI INJECTION TO WEB NE FLOWLINE,,80289-PRO-PID-1012,DP (NE),SIS
100-SV-911B,KHI INJECTION TO WEB NW FLOWLINE,,80289-PRO-PID-1012,DP (NE),SIS
100-SV-911C,KHI INJECTION TO WEB SE FLOWLINE,,80289-PRO-PID-1012,DP (NE),SIS
100-SV-911D,KHI INJECTION TO WEB SW FLOWLINE,,80289-PRO-PID-1012,DP (NE),SIS
100-SV-909A,METHANOL INJECTION TO WEB NE FLOWLINE,,80289-PRO-PID-1013,DP (NE),SIS
100-SV-909B,METHANOL INJECTION TO WEB NW FLOWLINE,,80289-PRO-PID-1013,DP (NE),SIS
100-SV-909C,METHANOL INJECTION TO WEB SE FLOWLINE,,80289-PRO-PID-1013,DP (NE),SIS
100-SV-909D,METHANOL INJECTION TO WEB SW FLOWLINE,,80289-PRO-PID-1013,DP (NE),SIS
100-XS-005A,100-P-005A DIESEL PUMP,,80289-PRO-PID-1009,DP (NE),SIS
100-XS-005B,100-P-005B DIESEL PUMP,,80289-PRO-PID-1009,DP (NE),SIS
100-XS-MX-001,100-MX-001 CORRISION INHIBITOR TANK MIXER,,80289-PRO-PID-1011,DP (NE),SIS
100-XS-001A,100-P-001A CORRISION INHIBITOR PUMP,,80289-PRO-PID-1011,DP (NE),SIS
100-XS-001B,100-P-001B CORRISION INHIBITOR PUMP,,80289-PRO-PID-1011,DP (NE),SIS
100-XS-003A,100-P-003A METHANOL PUMP,,80289-PRO-PID-1013,DP (NE),SIS
100-XS-003B,100-P-003B METHANOL PUMP,,80289-PRO-PID-1013,DP (NE),SIS
100-XS-004A,100-P-004A FRESH WATER PUMP,,80289-PRO-PID-1016,DP (NE),SIS
100-XS-004B,100-P-004B FRESH WATER PUMP,,80289-PRO-PID-1016,DP (NE),SIS
100-XS-MX-002,100-MX-002 KHI TANK MIXER,,80289-PRO-PID-1012,DP (NE),SIS
100-XS-002A,100-P-002A KHI PUMP,,80289-PRO-PID-1012,DP (NE),SIS
100-XS-002B,100-P-002B KHI PUMP,,80289-PRO-PID-1012,DP (NE),SIS
100-XS-MX-008,100-MX-008 SCALE INHIBITOR TANK MIXER,,80289-PRO-PID-1015,DP (NE),SIS
100-XS-008A,100-P-008A SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DP (NE),SIS
100-XS-008B,100-P-008B SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DP (NE),SIS
100-XS-PK-003A,100-PK-003A DIESEL GENERATOR PACKAGE,,80289-PRO-PID-1009,DP (NE),SIS
100-XS-PK-003B,100-PK-003B DIESEL GENERATOR PACKAGE,,80289-PRO-PID-1009,DP (NE),SIS
100-SY-908,100-BDV-908- BLOW DOWN VALVE,,80289-PRO-PID-1007,DP (NE),SIS
100-SY-906A,100-SDV-906- SHUT DOWN VALVE,,80289-PRO-PID-1008,DP (NE),SIS
100-SY-906B,100-SDV-906- SHUT DOWN VALVE,,80289-PRO-PID-1008,DP (NE),SIS
100-SY-907A,FROM PAPYRUS PIPELINE PIG LAUNCHER,,80289-PRO-PID-1017,DP (NE),SIS
100-SY-907B,FROM PAPYRUS PIPELINE PIG LAUNCHER,,80289-PRO-PID-1017,DP (NE),SIS
100-XS-006A,100-P-006A HP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DP (NE),SIS
100-XS-006B,100-P-006B HP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DP (NE),SIS
100-XS-007A,100-P-007A LP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DP (NE),SIS
100-XS-007B,100-P-007B LP HYDRAULIC RESERVOIR PUMP,,NOTE-1,DP (NE),SIS
100-XS-009,ESD SIGNAL TO PAGA,,-,DP (NE),SIS
100-XS-014,COMMUNICATION LOSS IN WDDM STATUS,,-,DP (NE),SIS
100-SV-912,SCALE INHIBITOR TO WEB PIPELINE PIG LAUNCHER,,80289-PRO-PID-1015,DP (NE),SIS
100-XL-001,POWER ON LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-002,SYSTEM HEALTHY LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-003,SYSTEM FAULT LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-004,ESD STATUS LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-005,PSD STATUS LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-006,SPARE LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-007,SPARE LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-008,OVERRIDE STATUS LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-009,MAINTENANCE OVERRIDE STATUS LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-010,SPARE LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-011,SPARE LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-012,SPARE LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-XL-013,SPARE LAMP ON ICSS PANEL,,-,DP (NDE),SIS
100-HS-ESD-001,ESD SHUTDOWN,,-,DVFC,SIS
100-HS-ESD-002,ESD SHUTDOWN,,-,DVFC,SIS
100-HS-ESD-003,ESD SHUTDOWN,,-,DVFC,SIS
100-HS-ESD-004,ESD SHUTDOWN,,-,DVFC,SIS
100-HS-ESD-007,ESD SHUTDOWN,,-,DVFC,SIS
100-HS-ESD-008,ESD SHUTDOWN,,-,DVFC,SIS
100-HS-ESD-009,ESD SHUTDOWN FROM DRILLING RIG,,-,DVFC,SIS
100-HS-ESD-005,ESD SHUTDOWN,,-,DVFC,SIS
100-HS-ESD-006,ESD SHUTDOWN,,-,DVFC,SIS
100-PS-906,ON 100-SDV-906 SHUT DOWN VALVE,,80289-PRO-PID-1008,DVFC,SIS
100-PS-907,ON 100-SDV-907 SHUT DOWN VALVE,,-,DVFC,SIS
100-XS-018,100-P-002A  KHI PUMP TRIPPED,,AI,DVFC,SIS
100-XS-019,100-P-002B  KHI PUMP TRIPPED,,AI,DVFC,SIS
100-XS-012,TOTAL POWER LOSS STATUS,,-,DVFC,SIS
100-XS-013,ESD SIGNAL TO PAGA,,-,DVFC,SIS
100-PB-001,ACKNOWLEDGEMENT-PUSH BUTTON ON ICSS PANEL,,-,DVFC,SIS
100-PB-002,LAMP TEST-PUSH BUTTON ON ICSS PANEL,,-,DVFC,SIS
100-PB-003,ESD-PUSH BUTTON ON ICSS PANEL,,-,DVFC,SIS
100-PB-004,PSD-PUSH BUTTON ON ICSS PANEL,,-,DVFC,SIS
100-PB-005,START-UP OVERRIDE KEYSWITCH ON ICSS PANEL,,-,DVFC,SIS
100-PB-006,MAINTENANCE OVERRIDE KEYSWITCH ON ICSS PANEL,,-,DVFC,SIS
100-PB-007,LOCAL / REMOTE KEYSWITCH ON ICSS PANEL,,-,DVFC,SIS
100-PB-008,ESD RESET-PUSH BUTTON ON ICSS PANEL,,-,DVFC,SIS
100-PB-009,PSD RESET-PUSH BUTTON ON ICSS PANEL,,-,DVFC,SIS
100-PB-011,NORMAL/ SIP ROD SELECTOR SWITCH ON ICSS PANEL,,-,DVFC,SIS
100-PB-012,SPARE -KEYSWITCH ON ICSS PANEL,,-,DVFC,SIS
100-PB-013,SPARE -KEYSWITCH ON ICSS PANEL,,-,DVFC,SIS
100-PB-014,SPARE -KEYSWITCH ON ICSS PANEL,,-,DVFC,SIS
100-PB-015,SPARE -PUSH BUTTON ON ICSS PANEL,,-,DVFC,SIS
100-PB-016,SPARE -PUSH BUTTON ON ICSS PANEL,,-,DVFC,SIS
